Intersection ID,Overlap Proportion
Intersection of Polygon 0 with 34 x 37,1.0,
Intersection of Polygon 0 with 34 x 38,1.0,
Intersection of Polygon 0 with 34 x 39,1.0,
Intersection of Polygon 0 with 34 x 40,1.0,
Intersection of Polygon 0 with 34 x 41,1.0,
Intersection of Polygon 0 with 34 x 42,1.0,
Intersection of Polygon 0 with 34 x 43,1.0,
Intersection of Polygon 0 with 34 x 44,1.0,
Intersection of Polygon 0 with 34 x 45,1.0,
Intersection of Polygon 0 with 34 x 46,1.0,
Intersection of Polygon 0 with 34 x 47,1.0,
Intersection of Polygon 0 with 34 x 48,1.0,
Intersection of Polygon 0 with 34 x 49,1.0,
Intersection of Polygon 0 with 35 x 29,0.8134492841709833,
Intersection of Polygon 0 with 35 x 30,1.0,
Intersection of Polygon 0 with 35 x 31,1.0,
Intersection of Polygon 0 with 35 x 32,1.0,
Intersection of Polygon 0 with 35 x 33,1.0,
Intersection of Polygon 0 with 35 x 34,1.0,
Intersection of Polygon 0 with 35 x 35,1.0,
Intersection of Polygon 0 with 35 x 36,1.0,
Intersection of Polygon 0 with 35 x 37,1.0,
Intersection of Polygon 0 with 35 x 38,1.0,
Intersection of Polygon 0 with 35 x 39,1.0,
Intersection of Polygon 0 with 35 x 40,1.0,
Intersection of Polygon 0 with 35 x 41,1.0,
Intersection of Polygon 0 with 35 x 42,1.0,
Intersection of Polygon 0 with 35 x 43,1.0,
Intersection of Polygon 0 with 35 x 44,1.0,
Intersection of Polygon 0 with 35 x 45,1.0,
Intersection of Polygon 0 with 35 x 46,1.0,
Intersection of Polygon 0 with 35 x 47,1.0,
Intersection of Polygon 0 with 35 x 48,1.0,
Intersection of Polygon 0 with 35 x 49,1.0,
Intersection of Polygon 0 with 36 x 29,0.22240562069769323,
Intersection of Polygon 0 with 36 x 30,0.8491818350507225,
Intersection of Polygon 0 with 36 x 31,1.0,
Intersection of Polygon 0 with 36 x 32,1.0,
Intersection of Polygon 0 with 36 x 33,1.0,
Intersection of Polygon 0 with 36 x 34,1.0,
Intersection of Polygon 0 with 36 x 35,1.0,
Intersection of Polygon 0 with 36 x 36,1.0,
Intersection of Polygon 0 with 36 x 37,1.0,
Intersection of Polygon 0 with 36 x 38,1.0,
Intersection of Polygon 0 with 36 x 39,1.0,
Intersection of Polygon 0 with 36 x 40,1.0,
Intersection of Polygon 0 with 36 x 41,1.0,
Intersection of Polygon 0 with 36 x 42,1.0,
Intersection of Polygon 0 with 36 x 43,1.0,
Intersection of Polygon 0 with 36 x 44,1.0,
Intersection of Polygon 0 with 36 x 45,1.0,
Intersection of Polygon 0 with 36 x 46,1.0,
Intersection of Polygon 0 with 36 x 47,1.0,
Intersection of Polygon 0 with 36 x 48,1.0,
Intersection of Polygon 0 with 36 x 49,1.0,
Intersection of Polygon 0 with 37 x 30,0.029896440920954444,
Intersection of Polygon 0 with 37 x 31,0.4237176464396122,
Intersection of Polygon 0 with 37 x 32,0.8168163944243495,
Intersection of Polygon 0 with 37 x 33,1.0,
Intersection of Polygon 0 with 37 x 34,1.0,
Intersection of Polygon 0 with 37 x 35,1.0,
Intersection of Polygon 0 with 37 x 36,1.0,
Intersection of Polygon 0 with 37 x 37,1.0,
Intersection of Polygon 0 with 37 x 38,1.0,
Intersection of Polygon 0 with 37 x 39,1.0,
Intersection of Polygon 0 with 37 x 40,1.0,
Intersection of Polygon 0 with 37 x 41,1.0,
Intersection of Polygon 0 with 37 x 42,1.0,
Intersection of Polygon 0 with 37 x 43,1.0,
Intersection of Polygon 0 with 37 x 44,1.0,
Intersection of Polygon 0 with 37 x 45,1.0,
Intersection of Polygon 0 with 37 x 46,1.0,
Intersection of Polygon 0 with 37 x 47,1.0,
Intersection of Polygon 0 with 37 x 48,1.0,
Intersection of Polygon 0 with 37 x 49,1.0,
Intersection of Polygon 0 with 38 x 32,8.856042683977967E-4,
Intersection of Polygon 0 with 38 x 33,0.09794059742093462,
Intersection of Polygon 0 with 38 x 34,0.3208209258724722,
Intersection of Polygon 0 with 38 x 35,0.551543800136721,
Intersection of Polygon 0 with 38 x 36,0.7353777199715792,
Intersection of Polygon 0 with 38 x 37,0.7383906047750871,
Intersection of Polygon 0 with 38 x 38,0.7383906047750871,
Intersection of Polygon 0 with 38 x 39,0.7383906047750871,
Intersection of Polygon 0 with 38 x 40,0.7383906047750871,
Intersection of Polygon 0 with 38 x 41,0.7383906047750871,
Intersection of Polygon 0 with 38 x 42,0.7383906047750871,
Intersection of Polygon 0 with 38 x 43,0.7383906047750871,
Intersection of Polygon 0 with 38 x 44,0.7383906047750871,
Intersection of Polygon 0 with 38 x 45,0.7383906047750871,
Intersection of Polygon 0 with 38 x 46,0.7383906047750871,
Intersection of Polygon 0 with 38 x 47,0.7383906047750871,
Intersection of Polygon 0 with 38 x 48,0.6286120519789082,
Intersection of Polygon 0 with 38 x 49,0.459788407594559,
